Sentence_id,Verdict
1,-1
2,-1
3,0
4,-1
5,1
6,-1
7,0
8,-1
9,0
10,-1
11,0
12,-1
13,-1
14,-1
15,-1
16,-1
17,0
18,-1
19,-1
20,-1
21,-1
22,-1
23,0
24,0
25,-1
26,0
27,1
28,-1
29,-1
30,0
31,0
32,-1
33,0
34,0
35,0
36,-1
37,1
38,-1
39,-1
40,0
41,-1
42,0
43,0
44,1
45,-1
46,0
47,0
48,-1
49,0
50,0
51,0
52,-1
53,-1
54,-1
55,-1
56,0
57,-1
58,-1
59,-1
60,-1
61,-1
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,-1
71,1
72,0
73,-1
74,-1
75,0
76,-1
77,-1
78,0
79,-1
80,0
81,0
82,1
83,0
84,-1
85,0
86,-1
87,-1
88,-1
89,-1
90,0
91,-1
92,0
93,-1
94,-1
95,-1
96,-1
97,-1
98,-1
99,-1
100,-1
101,-1
102,1
103,1
104,-1
105,0
106,-1
107,-1
108,0
109,-1
110,0
111,-1
112,-1
113,-1
114,-1
115,-1
116,-1
117,-1
118,-1
119,-1
120,-1
121,-1
122,0
123,-1
124,-1
125,-1
126,-1
127,-1
128,-1
129,-1
130,-1
131,-1
132,-1
133,-1
134,-1
135,-1
136,-1
137,-1
138,-1
139,-1
140,-1
141,-1
142,-1
143,-1
144,-1
145,-1
146,-1
147,-1
148,-1
149,-1
150,0
151,0
152,0
153,-1
154,1
155,1
156,1
157,-1
158,1
159,1
160,-1
161,-1
162,1
163,0
164,-1
165,-1
166,0
167,-1
168,0
169,-1
170,0
171,1
172,0
173,-1
174,-1
175,-1
176,-1
177,0
178,-1
179,-1
180,-1
181,0
182,0
183,-1
184,-1
185,0
186,0
187,-1
188,0
189,-1
190,0
191,1
192,0
193,0
194,0
195,-1
196,-1
197,0
198,0
199,-1
200,-1
201,0
202,0
203,-1
204,0
205,0
206,-1
207,-1
208,-1
209,-1
210,-1
211,-1
212,-1
213,-1
214,-1
215,-1
216,-1
217,-1
218,-1
219,-1
220,-1
221,-1
222,-1
223,0
224,-1
225,-1
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,-1
238,-1
239,0
240,0
241,-1
242,-1
243,0
244,-1
245,-1
246,-1
247,0
248,0
249,-1
250,0
251,-1
252,-1
253,-1
254,-1
255,-1
256,-1
257,-1
258,-1
259,-1
260,0
261,0
262,0
263,-1
264,-1
265,-1
266,-1
267,-1
268,-1
269,-1
270,-1
271,1
272,-1
273,0
274,-1
275,-1
276,1
277,0
278,-1
279,0
280,-1
281,-1
282,-1
283,-1
284,0
285,0
286,-1
287,1
288,-1
289,-1
290,-1
291,-1
292,-1
293,-1
294,0
295,0
296,0
297,-1
298,-1
299,-1
300,0
301,0
302,0
303,-1
304,1
305,-1
306,1
307,1
308,0
309,-1
310,-1
311,-1
312,-1
313,0
314,0
315,-1
316,-1
317,0
318,-1
319,0
320,0
321,1
322,0
323,1
324,0
325,-1
326,0
327,0
328,0
329,0
330,0
331,0
332,-1
333,-1
334,-1
335,0
336,-1
337,0
338,0
339,1
340,0
341,1
342,-1
343,0
344,0
345,0
346,1
347,0
348,-1
349,0
350,-1
351,0
352,-1
353,-1
354,1
355,0
356,-1
357,-1
358,-1
359,0
360,-1
361,0
362,0
363,1
364,0
365,1
366,1
367,0
368,-1
369,0
370,-1
371,-1
372,-1
373,-1
374,1
375,0
376,1
377,-1
378,0
379,0
380,0
381,-1
382,-1
383,1
384,-1
385,-1
386,0
387,0
388,0
389,1
390,-1
391,0
392,0
393,0
394,-1
395,-1
396,-1
397,-1
398,0
399,-1
400,-1
401,1
402,1
403,-1
404,-1
405,-1
406,0
407,0
408,-1
409,-1
410,0
411,-1
412,1
413,-1
414,-1
415,0
416,0
417,-1
418,-1
419,-1
420,-1
421,-1
422,-1
423,-1
424,-1
425,-1
426,-1
427,0
428,-1
429,0
430,-1
431,-1
432,-1
433,1
434,-1
435,-1
436,-1
437,0
438,-1
439,-1
440,0
441,1
442,-1
443,-1
444,-1
445,-1
446,-1
447,-1
448,-1
449,0
450,-1
451,-1
452,1
453,-1
454,0
455,0
456,-1
457,-1
458,-1
459,-1
460,-1
461,-1
462,-1
463,1
464,0
465,0
466,-1
467,-1
468,0
469,0
470,0
471,-1
472,0
473,0
474,-1
475,-1
476,-1
477,-1
478,0
479,0
480,-1
481,0
482,-1
483,-1
484,-1
485,0
486,-1
487,0
488,-1
489,-1
490,-1
491,0
492,0
493,-1
494,-1
495,-1
496,-1
497,-1
498,-1
499,-1
500,-1
501,-1
502,-1
503,-1
504,0
505,0
506,0
507,-1
508,-1
509,-1
510,1
511,1
512,1
513,-1
514,0
515,-1
516,-1
517,0
518,-1
519,-1
520,0
521,0
522,0
523,-1
524,0
525,-1
526,-1
527,-1
528,-1
529,-1
530,0
531,-1
532,-1
533,0
534,-1
535,-1
536,-1
537,-1
538,0
539,0
540,0
541,0
542,1
543,-1
544,-1
545,-1
546,-1
547,0
548,-1
549,-1
550,0
551,-1
552,-1
553,-1
554,0
555,-1
556,-1
557,-1
558,-1
559,0
560,0
561,0
562,-1
563,1
564,-1
565,1
566,0
567,0
568,-1
569,0
570,0
571,0
572,-1
573,-1
574,-1
575,-1
576,-1
577,-1
578,0
579,-1
580,-1
581,-1
582,0
583,0
584,0
585,-1
586,0
587,0
588,0
589,0
590,-1
591,0
592,0
593,0
594,-1
595,-1
596,0
597,0
598,-1
599,-1
600,0
601,0
602,0
603,0
604,-1
605,1
606,0
607,0
608,0
609,-1
610,1
611,-1
612,1
613,-1
614,0
615,0
616,0
617,-1
618,0
619,0
620,0
621,1
622,0
623,0
624,-1
625,-1
626,0
627,-1
628,1
629,0
630,-1
631,0
632,1
633,0
634,0
635,0
636,-1
637,-1
638,0
639,-1
640,0
641,0
642,0
643,1
644,-1
645,0
646,-1
647,0
648,-1
649,0
650,1
651,-1
652,0
653,0
654,0
655,0
656,-1
657,0
658,-1
659,-1
660,0
661,0
662,-1
663,-1
664,0
665,-1
666,0
667,0
668,0
669,0
670,0
671,-1
672,-1
673,0
674,0
675,1
676,0
677,0
678,0
679,1
680,1
681,-1
682,0
683,-1
684,-1
685,-1
686,-1
687,-1
688,-1
689,-1
690,-1
691,0
692,0
693,0
694,-1
695,0
696,0
697,0
698,0
699,-1
700,-1
701,0
702,-1
703,0
704,0
705,-1
706,-1
707,0
708,-1
709,-1
710,-1
711,0
712,1
713,0
714,-1
715,0
716,0
717,0
718,-1
719,-1
720,-1
721,-1
722,0
723,0
724,-1
725,0
726,-1
727,1
728,-1
729,1
730,0
731,-1
732,-1
733,-1
734,1
735,1
736,0
737,-1
738,0
739,-1
740,0
741,1
742,0
743,-1
744,-1
745,0
746,0
747,1
748,0
749,-1
750,-1
751,-1
752,0
753,0
754,-1
755,-1
756,1
757,-1
758,-1
759,0
760,-1
761,0
762,0
763,0
764,-1
765,-1
766,0
767,-1
768,-1
769,0
770,0
771,0
772,0
773,0
774,-1
775,-1
776,0
777,0
778,0
779,0
780,-1
781,-1
782,-1
783,0
784,-1
785,1
786,-1
787,-1
788,-1
789,-1
790,0
791,0
792,0
793,-1
794,-1
795,-1
796,0
797,0
798,0
799,1
800,-1
801,0
802,0
803,0
804,-1
805,-1
806,0
807,-1
808,0
809,1
810,-1
811,1
812,-1
813,-1
814,0
815,1
816,0
817,-1
818,0
819,-1
820,-1
821,-1
822,-1
823,-1
824,0
825,-1
826,-1
827,0
828,-1
829,-1
830,-1
831,1
832,-1
833,-1
834,-1
835,0
836,-1
837,-1
838,0
839,-1
840,-1
841,0
842,-1
843,1
844,0
845,1
846,1
847,-1
848,-1
849,0
850,-1
851,-1
852,-1
853,0
854,-1
855,-1
856,0
857,-1
858,-1
859,-1
860,0
861,-1
862,-1
863,1
864,0
865,-1
866,0
867,0
868,0
869,1
870,0
871,-1
872,0
873,0
874,-1
875,-1
876,1
877,-1
878,0
879,0
880,1
881,-1
882,-1
883,1
884,-1
885,-1
886,-1
887,-1
888,-1
889,-1
890,-1
891,0
892,0
893,-1
894,-1
895,0
896,0
897,-1
898,-1
899,-1
900,-1
901,0
902,0
903,-1
904,-1
905,-1
906,-1
907,0
908,1
909,-1
910,-1
911,-1
912,0
913,-1
914,-1
915,-1
916,0
917,-1
918,-1
919,1
920,-1
921,-1
922,-1
923,0
924,-1
925,-1
926,1
927,-1
928,0
929,0
930,-1
931,-1
932,-1
933,0
934,0
935,0
936,-1
937,-1
938,-1
939,0
940,-1
941,-1
942,-1
943,-1
944,0
945,1
946,0
947,0
948,0
949,0
950,-1
951,-1
952,-1
953,0
954,-1
955,-1
956,-1
957,0
958,0
959,1
960,-1
961,-1
962,0
963,0
964,-1
965,-1
966,-1
967,-1
968,0
969,-1
970,-1
971,-1
972,-1
973,-1
974,-1
975,-1
976,-1
977,-1
978,-1
979,-1
980,-1
981,-1
982,0
983,-1
984,-1
985,-1
986,0
987,-1
988,-1
989,-1
990,-1
991,0
992,0
993,-1
994,0
995,0
996,-1
997,-1
998,-1
999,0
1000,0
1001,-1
1002,-1
1003,-1
1004,-1
1005,-1
1006,0
1007,0
1008,-1
1009,-1
1010,-1
1011,1
1012,1
1013,0
1014,-1
1015,-1
1016,-1
1017,0
1018,-1
1019,0
1020,0
1021,-1
1022,0
1023,-1
1024,0
1025,0
1026,0
1027,-1
1028,1
1029,-1
1030,0
1031,0
1032,-1
